ID number,Biggest_Challenge,Inflation_Challenge,Unemployment_Challenge,NHS_Challenge,Education_Challenge,Security_Challenge,Tax_Challenge,Crime_Challenge,ClimateChange_Challenge,Energy_Challenge,Energy_thought,Renewable_thought,Lights_on,Boil_kettle,Wash_clothes,Room_temp,Heat_on,Glazing,Biomass_boiler,Air_source_heat_pump,Ground_source_heat_pump,Solar_thermal,Rep_old_boiler,Smart_meter,Electric_car,Renew_Econ_benefit,Renew_energy_dev,Renew_energy_dev_comm,Support_wind_onshore,Support_biomass,Support_wind_offshore,Support_waveTidal,Support_solar,Nuclear_ClimateChange,Nuclear_afford_energy,Nuclear_Economic,Nuclear_benefit_risk,CCS,Energy_Bill_cost,Food_Cost,Transport_costs,Mortgage_Rent_costs,ClimChange_concerns,ClimChange_cause,Future_energy_price,Future_power_cuts,Future_fossilfuel_supply,Future_energy_dependence,Future_altEnergy_invest,Future_altEnergy_dev,Energy_source_mix,Property_type ,Heating_method_prim,Number_Adults,Number_people,Children,Gender,Tenure ,Working_status,Age,Area,Income
302,National Health Service,No,Yes,Yes,No,No,Yes,No,No,No,Not very much,Neither support nor oppose,Never,Never,Always ,Quite often ,Never,Yes,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this,Don't want to\probably won't do this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Don't know,Don't know,Don't know,Don't know,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Fairly concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Neither agree nor disagree,Semi Detached Property,Gas,2,2,No child,Female,Rented from local authority,Part time,45-54,Urban,15999
303,Don't know,No,No,No,No,No,No,No,No,No,Not very much,Neither support nor oppose,Never,Very often,Never,Never,Never,No,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Already done\ have this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Support,Support,Support,Support,Neither support nor oppose,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Don't know,Never heard of it ,Fairly worried,Fairly worried,Not very worried,Fairly worried,Not very concerned,Climate change is mainly caused by natural processes,Fairly concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Slightly agree,Semi Detached Property,Gas,2,4,Child,Female,Rented from private landlord,Not working not looking,25-34,Urban,15999
304,National Health Service,No,Yes,Yes,No,No,No,Yes,No,No,A fair amount,Oppose ,Never,Never,Never,Never,Never,No,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Already done\ have this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Strongly disagree,Strongly agree,Oppose ,Support,Oppose ,Support,Support,Strongly agree,Strongly agree,Strongly agree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Not applicable,Not very concerned,Climate change is mainly caused by natural processes,Fairly concerned,Very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Strongly agree,Semi Detached Property,Gas,1,1,No child,Female,Owned outright by household,Retired,65,Rural,NA
305,Energy supply,No,No,Yes,No,No,No,Yes,No,Yes,A fair amount,Oppose ,Never,Occasionally,Always ,Quite often ,Never,No,Don't want to\probably won't do this ,Haven't heard of this ,Don't want to\probably won't do this ,Thinking about doing this,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one","I am thinking about buying an electric car or van, but I haven't thought about when I will buy it",Strongly disagree,Strongly disagree,Strongly agree,Strongly oppose ,Strongly support,Support,Strongly support,Strongly support,Strongly agree,Strongly agree,Strongly agree,The benefits far outweigh the risks,Never heard of it ,Fairly worried,Fairly worried,Very worried,Fairly worried,Not very concerned,Climate change is entirely caused by human activity,Very concerned,Very concerned,Don't know,Very concerned,Very concerned,Very concerned,Slightly disagree,Semi Detached Property,Oil,2,2,No child,Male,Rented from local authority,Retired,65,Urban,15999
306,Energy supply,No,Yes,Yes,No,No,No,No,No,Yes,A lot,Oppose ,Never,Never,Always ,Always ,Never,Yes,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Haven't thought about doing this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Neither agree nor disagree,Strongly disagree,Strongly agree,Oppose ,Neither support nor oppose,Strongly oppose ,Support,Neither support nor oppose,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Not at all worried,Fairly concerned,Climate change is mainly caused by human activity,Very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Slightly agree,Terrace Property,Gas,2,2,No child,Female,Owned outright by household,Retired,65,Rural,NA
307,Unemployment,No,Yes,No,No,No,Yes,Yes,No,No,A lot,Oppose ,Never,Occasionally,Always ,Always ,Occasionally,No,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,No - I have never heard of them,"I have thought about buying an electric car or van, but have decided not to",Neither agree nor disagree,Neither agree nor disagree,Slightly agree,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither support nor oppose,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Fairly worried,Not very worried,Not very worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Slightly agree,Terrace Property,Gas,1,1,No child,Female,Rented from local authority,Retired,65,Urban,NA
308,Unemployment,No,Yes,No,No,No,No,Yes,No,Yes,A lot,Strongly oppose ,Never,Occasionally,Very often,Never,Never,Yes,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly disagree,Strongly disagree,Slightly agree,Strongly oppose ,Neither support nor oppose,Oppose ,Neither support nor oppose,Neither support nor oppose,Strongly agree,Strongly agree,Slightly agree,The benefits far outweigh the risks,Never heard of it ,Fairly worried,Fairly worried,Very worried,Not very worried,Not at all concerned,I don't think there is such a thing as climate change,Very concerned,Fairly concerned,Fairly concerned,Very concerned,Fairly concerned,Very concerned,Strongly agree,Semi Detached Property,Gas,1,1,No child,Female,Rented from local authority,Retired,65,Urban,15999
309,Education,No,Yes,No,Yes,No,Yes,No,No,No,A fair amount,Strongly support,Never,Occasionally,Always ,Always ,Never,Yes,Haven't thought about doing this ,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Don't know,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Slightly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Don't know,Slightly disagree,Slightly disagree,The risks far outweigh the benefits ,Never heard of it ,Fairly worried,Very worried,Very worried,Not at all worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Very concerned,Very concerned,Fairly concerned,Strongly agree,Semi Detached Property,,5,5,No child,Female,Being bought on mortgage,Full time education,16-24,Urban,NA
310,Unemployment,No,Yes,Yes,Yes,No,No,No,No,No,A fair amount,Strongly support,Never,Quite often ,Occasionally,Never,Not Applicable,Yes,Haven't thought about doing this ,Haven't heard of this ,Have this/in the process of doing,Don't want to\probably won't do this,Thinking about doing this ,"Yes, I have a smart meter","I am thinking about buying an electric car or van, but I haven't thought about when I will buy it",Slightly agree,Neither agree nor disagree,Strongly agree,Support,Support,Support,Support,Strongly support,Slightly agree,Strongly agree,Neither agree nor disagree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Not very worried,Fairly worried,Not at all worried,Fairly concerned,Climate change is mainly caused by human activity,Very concerned,Not very concerned,Fairly concerned,Very concerned,Fairly concerned,Fairly concerned,Strongly agree,Detached Property,Gas,3,5,Child,Female,Being bought on mortgage,Still at school,16-24,Urban,NA
311,National Health Service,Yes,Yes,Yes,No,No,No,No,No,No,A fair amount,Strongly support,Never,Occasionally,Quite often ,Always ,Never,No,Don't want to\probably won't do this ,Haven't heard of this ,Thinking about doing this ,Thinking about doing this,In the process of doing this ,"Yes, I have heard of smart meters but I do not have one","I am thinking about buying an electric car or van, but I haven't thought about when I will buy it",Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly agree,Strongly agree,Slightly agree,The benefits slightly outweigh the risks ,Never heard of it ,Fairly worried,Not very worried,Very worried,Fairly worried,Fairly concerned,Climate change is mainly caused by human activity,Very concerned,Not at all concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Terrace Property,Gas,1,1,No child,Male,Being bought on mortgage,Full time,45-54,Urban,35000
312,Unemployment,No,Yes,No,No,No,No,Yes,Yes,No,A fair amount,Strongly support,Never,Occasionally,Never,Quite often ,Occasionally,No,Haven't thought about doing this ,Haven't heard of this ,Haven't heard of this ,Thinking about doing this,Thinking about doing this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly agree,Strongly agree,Slightly agree,The benefits far outweigh the risks,Never heard of it ,Fairly worried,Not very worried,Very worried,Not very worried,Very concerned,Climate change is entirely caused by human activity,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Semi Detached Property,Oil,2,2,No child,Male,Being bought on mortgage,Retired,65,Urban,15999
313,Inflation\rising prices,Yes,Yes,No,No,No,Yes,No,No,No,A fair amount,Strongly support,Never,Never,Very often,Very often,Never,Yes,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this,Already done\ have this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly support,Neither support nor oppose,Strongly support,Strongly support,Strongly support,Neither agree nor disagree,Neither agree nor disagree,Slightly disagree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Fairly worried,Very worried,Fairly worried,Fairly concerned,Climate change is mainly caused by human activity,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Terrace Property,Gas,2,3,Child,Male,Being bought on mortgage,Full time,35-44,Rural,25000
314,Education,No,No,Yes,Yes,No,Yes,No,No,No,A fair amount,Strongly support,Never,Never,Always ,Never,Never,No,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Already done\ have this ,No - I have never heard of them,Don't know,Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly disagree,Strongly disagree,Strongly disagree,The risks far outweigh the benefits ,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Slightly agree,Terrace Property,Gas,2,2,No child,Male,Rented from private landlord,Full time,45-54,Urban,15999
315,Inflation\rising prices,Yes,Yes,Yes,No,No,No,No,No,No,A fair amount,Strongly support,Never,Occasionally,Never,Occasionally,Never,Yes,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Don't want to\probably won't do this,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one","I have thought about buying an electric car or van, but have decided not to",Slightly agree,Slightly agree,Slightly agree,Support,Support,Strongly support,Strongly support,Strongly support,Neither agree nor disagree,Strongly disagree,Strongly disagree,The risks far outweigh the benefits ,Never heard of it ,Fairly worried,Not very worried,Very worried,Not very worried,Fairly concerned,Climate change is mainly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Strongly agree,Semi Detached Property,Gas,2,2,No child,Male,Owned outright by household,Part time,55-64,Rural,NA
316,Unemployment,Yes,Yes,No,No,No,No,No,No,Yes,A fair amount,Strongly support,Never,Occasionally,Quite often ,Very often,Never,Yes,Haven't thought about doing this ,Haven't heard of this ,Haven't thought about doing this ,Don't want to\probably won't do this,Thinking about doing this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Slightly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Fairly worried,Not very worried,Fairly worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Not very concerned,Not very concerned,Fairly concerned,Not very concerned,Not very concerned,Strongly agree,Flat or Maisonette,Gas,2,2,No child,Male,Rented from local authority,Full time,25-34,Rural,20000
317,National Health Service,No,Yes,Yes,No,No,No,No,No,Yes,A fair amount,Strongly support,Never,Never,Never,Very often,Occasionally,Yes,Don't want to\probably won't do this ,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Thinking about doing this ,"Yes, I have heard of smart meters but I do not have one","I am thinking about buying an electric car or van, but I haven't thought about when I will buy it",Strongly agree,Strongly disagree,Strongly agree,Support,Support,Strongly support,Strongly support,Strongly support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The risks far outweigh the benefits ,Never heard of it ,Fairly worried,Not very worried,Fairly worried,Not at all worried,Fairly concerned,Climate change is entirely caused by human activity,Very concerned,Fairly concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Semi Detached Property,Gas,2,2,No child,Female,Owned outright by household,Retired,65,Urban,20000
318,Education,No,Yes,No,Yes,No,Yes,No,No,No,A fair amount,Strongly support,Never,Always ,Never,Never,Very often,Yes,Haven't thought about doing this ,Haven't thought about doing this,Haven't thought about doing this ,Haven't thought about doing this ,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",Don't know,Strongly disagree,Strongly disagree,Slightly agree,Support,Support,Support,Support,Support,Slightly agree,Slightly agree,Slightly agree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Not at all worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Fairly concerned,Very concerned,Very concerned,Fairly concerned,Very concerned,Slightly agree,Semi Detached Property,Gas,1,1,No child,Female,Owned outright by household,Not working not looking,55-64,Urban,15999
319,Crime\law and order,No,No,Yes,Yes,No,No,Yes,No,No,A fair amount,Strongly support,Never,Never,Always ,Occasionally,Quite often ,No,Don't want to\probably won't do this ,Haven't thought about doing this,Haven't heard of this ,Haven't heard of this ,Haven't thought about doing this ,No - I have never heard of them,I have never heard of electric cars or vans,Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly disagree,Strongly disagree,Strongly disagree,The risks far outweigh the benefits ,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Very concerned,Climate change is mainly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Fairly concerned,Strongly agree,Terrace Property,Gas,3,3,No child,Male,Rented from local authority,Not working not looking,45-54,Urban,25000
320,National security\defence,No,Yes,No,Yes,Yes,No,No,No,No,A fair amount,Strongly support,Never,Never,Never,Never,Quite often ,No,Haven't thought about doing this ,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this,Don't want to\probably won't do this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Strongly agree,Strongly support,Neither support nor oppose,Strongly support,Strongly support,Strongly support,Strongly disagree,Strongly disagree,Strongly disagree,The risks far outweigh the benefits ,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Not very worried,Not very concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Not very concerned,Strongly agree,Semi Detached Property,Gas,4,4,No child,Male,Being bought on mortgage,Full time,25-34,Urban,NA
321,Inflation\rising prices,Yes,No,Yes,No,No,No,No,Yes,No,A fair amount,Strongly support,Never,Very often,Quite often ,Quite often ,Occasionally,Yes,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Haven't heard of this ,Don't want to\probably won't do this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Slightly agree,Neither agree nor disagree,Strongly agree,Strongly support,Neither support nor oppose,Strongly support,Strongly support,Support,Neither agree nor disagree,Slightly agree,Slightly agree,Don't know,Never heard of it ,Fairly worried,Fairly worried,Very worried,Not at all worried,Very concerned,Climate change is mainly caused by human activity,Very concerned,Fairly concerned,Very concerned,Fairly concerned,Very concerned,Fairly concerned,Strongly agree,Terrace Property,Gas,2,2,No child,Female,Owned outright by household,Full time,55-64,Urban,NA
322,Climate change,No,No,No,No,Yes,No,No,Yes,Yes,A fair amount,Strongly support,Never,Quite often ,Always ,Always ,Never,No,Don't want to\probably won't do this ,Haven't heard of this ,Haven't thought about doing this ,Don't want to\probably won't do this,Haven't thought about doing this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly agree,Strongly agree,Strongly disagree,The risks far outweigh the benefits ,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Fairly concerned,Climate change is mainly caused by natural processes,Very concerned,Fairly concerned,Fairly concerned,Very concerned,Fairly concerned,Fairly concerned,Strongly agree,Terrace Property,Electric,2,4,Child,Male,Rented from local authority,Not working not looking,35-44,Rural,NA
323,Unemployment,No,Yes,Yes,No,No,No,Yes,No,No,A fair amount,Strongly support,Never,Occasionally,Always ,Never,Occasionally,Yes,Haven't heard of this,Haven't heard of this ,Not my decision to make because I'm renting the property,Not my decision to make because I'm renting the property,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Slightly agree,Neither agree nor disagree,Slightly agree,Support,Support,Support,Support,Support,Neither agree nor disagree,Neither agree nor disagree,Slightly agree,The risks slightly outweigh the benefits,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Not very worried,Not very concerned,Climate change is mainly caused by natural processes,Very concerned,Very concerned,Fairly concerned,Very concerned,Very concerned,Very concerned,Slightly agree,Flat or Maisonette,Gas,1,1,No child,Female,Rented from local authority,Full time,55-64,Urban,20000
324,Energy supply,No,No,Yes,Yes,No,No,No,No,Yes,A fair amount,Strongly support,Never,Never,Always ,Always ,Occasionally,Yes,Haven't thought about doing this ,Haven't heard of this ,Haven't heard of this ,Haven't thought about doing this ,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly agree,Slightly disagree,Slightly disagree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Strongly disagree,Slightly agree,Strongly agree,The benefits slightly outweigh the risks ,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Not at all worried,Fairly concerned,Climate change is entirely caused by human activity,Very concerned,Very concerned,Very concerned,Very concerned,Fairly concerned,Fairly concerned,Strongly agree,Detached Property,Gas,3,3,No child,Male,Owned outright by household,Retired,65,Urban,NA
325,Unemployment,No,Yes,Yes,No,No,Yes,No,No,No,A fair amount,Strongly support,Never,Never,Very often,Always ,Never,No,Haven't thought about doing this ,Not Applicable,Not Applicable,Haven't thought about doing this ,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly oppose ,Strongly support,Strongly support,Strongly oppose ,Slightly agree,Slightly agree,Slightly agree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Not very worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Fairly concerned,Fairly concerned,Very concerned,Fairly concerned,Very concerned,Slightly agree,Terrace Property,Gas,1,1,No child,Male,Being bought on mortgage,Not working Looking,35-44,Urban,NA
326,Unemployment,Yes,Yes,Yes,No,No,No,No,No,No,A fair amount,Strongly support,Never,Quite often ,Very often,Always ,Always ,Yes,Don't want to\probably won't do this ,Haven't thought about doing this,Don't want to\probably won't do this ,Don't want to\probably won't do this,Already done\ have this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Fairly worried,Very worried,Not at all worried,Very concerned,Climate change is entirely caused by human activity,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Detached Property,Gas,2,2,No child,Male,Rented from private landlord,Full time,25-34,Rural,35000
327,Unemployment,No,Yes,No,Yes,No,Yes,No,No,No,A fair amount,Strongly support,Never,Never,Very often,Always ,Never,No,Don't want to\probably won't do this ,Don't want to\probably won't do this ,Haven't thought about doing this ,Don't want to\probably won't do this,Don't want to\probably won't do this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Strongly agree,Support,Strongly support,Strongly support,Oppose ,Strongly support,Strongly disagree,Slightly agree,Neither agree nor disagree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Not very worried,Fairly worried,Not at all worried,Fairly concerned,Climate change is mainly caused by human activity,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Semi Detached Property,Oil,2,3,Child,Male,Rented from private landlord,Full time,35-44,Rural,NA
328,Inflation\rising prices,Yes,Yes,Yes,No,No,No,No,No,No,A fair amount,Strongly support,Never,Quite often ,Quite often ,Always ,Occasionally,No,Haven't heard of this,Haven't thought about doing this,Haven't thought about doing this ,Have this/in the process of doing,Haven't thought about doing this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Slightly agree,Neither support nor oppose,Support,Neither support nor oppose,Support,Strongly support,Slightly agree,Slightly agree,Slightly agree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Not very worried,Very worried,Not very worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Slightly agree,Detached Property,Gas,2,2,No child,Male,Owned outright by household,Part time,65,Urban,15999
329,Unemployment,No,Yes,No,No,No,Yes,Yes,No,No,A fair amount,Strongly support,Never,Never,Never,Very often,Never,Yes,Haven't heard of this,Haven't thought about doing this,Haven't heard of this ,Haven't thought about doing this ,Already done\ have this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Strongly agree,Slightly agree,Strongly agree,Support,Don't know,Support,Don't know,Strongly support,Slightly disagree,Slightly disagree,Slightly disagree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Fairly concerned,Very concerned,Fairly concerned,Fairly concerned,Fairly concerned,Strongly agree,Flat or Maisonette,Gas,2,2,No child,Female,Rented from local authority,Not working not looking,55-64,Urban,NA
330,National security\defence,Yes,No,Yes,No,Yes,No,No,No,No,A fair amount,Strongly support,Never,Occasionally,Very often,Quite often ,Occasionally,Yes,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Haven't thought about doing this ,Haven't thought about doing this ,No - I have never heard of them,I haven't really thought about buying an electric car or van,Don't know,Slightly disagree,Strongly agree,Support,Support,Support,Strongly support,Strongly support,Don't know,Slightly agree,Slightly agree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Fairly worried,Very worried,Not applicable,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Fairly concerned,Fairly concerned,Fairly concerned,Very concerned,Fairly concerned,Fairly concerned,Strongly agree,Terrace Property,Gas,1,1,No child,Female,Owned outright by household,Retired,65,Urban,20000
331,Unemployment,No,Yes,No,No,No,Yes,Yes,No,No,A fair amount,Strongly support,Never,Very often,Always ,Occasionally,Never,Yes,Haven't heard of this,Haven't heard of this ,Haven't heard of this ,Haven't thought about doing this ,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one",I haven't really thought about buying an electric car or van,Strongly agree,Strongly agree,Strongly agree,Strongly support,Strongly oppose ,Strongly support,Strongly support,Strongly support,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,The benefits and risks are about the same,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Very concerned,Climate change is mainly caused by human activity,Very concerned,Not very concerned,Not very concerned,Not very concerned,Fairly concerned,Not very concerned,Neither agree nor disagree,Terrace Property,Gas,4,4,No child,Male,Being bought on mortgage,Part time,16-24,Urban,20000
332,Unemployment,No,Yes,Yes,No,No,No,Yes,No,No,A fair amount,Strongly support,Never,Occasionally,Occasionally,Always ,Always ,Yes,Don't want to\probably won't do this ,Haven't heard of this ,Haven't heard of this ,Not Applicable,Already done\ have this ,"Yes, I have heard of smart meters but I do not have one","I have thought about buying an electric car or van, but have decided not to",Neither agree nor disagree,Slightly agree,Strongly agree,Strongly support,Strongly support,Strongly support,Strongly support,Strongly support,Neither agree nor disagree,Slightly disagree,Slightly agree,The risks slightly outweigh the benefits,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Not very worried,Fairly concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Not very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Detached Property,Gas,3,3,No child,Female,Being bought on mortgage,Part time,45-54,Urban,50000
333,National Health Service,No,Yes,Yes,No,No,No,No,Yes,No,A lot,Strongly support,Never,Never,Always ,Always ,Never,No,Thinking about doing this ,Haven't heard of this ,Don't want to\probably won't do this ,Thinking about doing this,Thinking about doing this ,"Yes, I have heard of smart meters but I do not have one","I have thought about buying an electric car or van, but have decided not to",Slightly agree,Slightly agree,Strongly agree,Support,Support,Strongly support,Strongly support,Support,Slightly agree,Slightly agree,Slightly agree,The risks slightly outweigh the benefits,Never heard of it ,Fairly worried,Fairly worried,Fairly worried,Fairly worried,Very concerned,Climate change is mainly caused by human activity,Very concerned,Fairly concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Detached Property,Gas,2,2,No child,Female,Owned outright by household,Not working not looking,45-54,Urban,15999
334,Unemployment,Yes,Yes,No,No,No,No,Yes,No,No,A lot,Strongly support,Never,Never,Don't know,Always ,Never,Yes,Thinking about doing this ,Thinking about doing this ,Don't want to\probably won't do this ,Thinking about doing this,Already done\ have this ,No - I have never heard of them,"I have thought about buying an electric car or van, but have decided not to",Strongly agree,Strongly agree,Strongly agree,Neither support nor oppose,Strongly support,Neither support nor oppose,Strongly support,Neither support nor oppose,Strongly agree,Strongly agree,Strongly agree,The benefits far outweigh the risks,Never heard of it ,Fairly worried,Not very worried,Not very worried,Not very worried,Not at all concerned,Climate change is partly caused by natural processes and partly caused by human activity,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Very concerned,Strongly agree,Semi Detached Property,Gas,2,4,Child,Male,Being bought on mortgage,Full time,35-44,Urban,NA
